age,shape,scale,loc
5.0,0.5033693075715981,2.080676964479677,0
6.0,0.5033693075715981,2.080676964479677,0
7.0,0.482204787513866,2.4745530367640614,0
8.0,0.46890058951141095,2.951336165947247,0
9.0,0.4540795843873957,3.5160451408959985,0
10.0,0.43635634840237847,3.9958227819081062,0
11.0,0.41887209135812525,4.371556801104218,0
12.0,0.40080168639727665,4.741024074070109,0
13.0,0.38313775338710376,5.1879265915177015,0
14.0,0.3676579090826612,5.6650219503421715,0
15.0,0.3572490167590259,6.031213350904926,0
16.0,0.3492679003983936,6.163056292131063,0
17.0,0.3437390086972255,6.138044455778062,0
18.0,0.340470211757785,6.0018792930782405,0
